id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
1451,1,1,1,https://eniqds.whu.edu.cn,eniqds.whu.edu.cn,1,eniqds.whu.edu.cn,202.114.64.221,1,1,443,200,OK,质量院英文网,none,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,BaiduSearch
1607,1,1,1,http://eniqds.whu.edu.cn,eniqds.whu.edu.cn,1,eniqds.whu.edu.cn,202.114.64.221,1,1,80,200,OK,质量院英文网,none,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,BaiduSearch
1206,0,0,1,https://enlaigao.whu.edu.cn,enlaigao.whu.edu.cn,1,enlaigao.whu.edu.cn,210.42.122.166,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='enlaigao.whu.edu.cn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e1c5f4b10>: Failed to establish a new connection: [Errno 101] Network is unreachable'))""),)",,,210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
1208,1,1,1,http://enlaigao.whu.edu.cn,enlaigao.whu.edu.cn,1,enlaigao.whu.edu.cn,210.42.122.166,1,1,80,200,OK,Home | Enlai Gao's Webpage,************************************,210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
2087,1,1,1,https://enwaterlab.whu.edu.cn,enwaterlab.whu.edu.cn,3,enwaterlab.whu.edu.cn,202.114.64.221,1,1,443,200,OK,"STATE KEY LABORATORY OF WATER RESOURCES AND HYDROPOWER ENGINEERING SCIENCE,WUHAN UNIVERSITY",none,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,Finder
2221,1,1,1,http://enwaterlab.whu.edu.cn,enwaterlab.whu.edu.cn,3,enwaterlab.whu.edu.cn,202.114.64.221,1,1,80,200,OK,"STATE KEY LABORATORY OF WATER RESOURCES AND HYDROPOWER ENGINEERING SCIENCE,WUHAN UNIVERSITY",none,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,Finder
1435,1,1,1,http://ershida.whu.edu.cn,ershida.whu.edu.cn,1,ershida.whu.edu.cn,202.114.64.221,1,1,80,200,OK,武汉大学学习宣传党的二十大精神专题网,none,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,DNSDumpsterQuery
1442,1,1,1,https://ershida.whu.edu.cn,ershida.whu.edu.cn,1,ershida.whu.edu.cn,202.114.64.221,1,1,443,200,OK,武汉大学学习宣传党的二十大精神专题网,none,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,DNSDumpsterQuery
1502,1,1,1,https://ersp.lib.whu.edu.cn,ersp.lib.whu.edu.cn,2,ersp.lib.whu.edu.cn,119.97.246.110,1,1,443,200,OK,ersp,nginx,119.97.192.0/18,AS4134,China Telecom,中国湖北省武汉市,电信,RapidDNSQuery
1661,1,1,1,http://ersp.lib.whu.edu.cn,ersp.lib.whu.edu.cn,2,ersp.lib.whu.edu.cn,119.97.246.110,1,1,80,200,OK,ersp,nginx,119.97.192.0/18,AS4134,China Telecom,中国湖北省武汉市,电信,RapidDNSQuery
